price,title,url,area_m2,typology,location
1250,"Apartamento T1 na Travessa da Memória, 25, Calçada da Ajuda - Belém, Ajuda",https://www.idealista.pt/imovel/34846594/,42,T1,"Travessa da Memória, 25, Calçada da Ajuda - Belém, Ajuda"
1500,"Apartamento T1 na Travessa da Ferrugenta, 11, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/32716336/,56,T1,"Travessa da Ferrugenta, 11, Rio Seco - Casalinho, Ajuda"
1950,"Moradia em banda na Rua das Mercês, 18, Calçada da Ajuda - Belém, Ajuda",https://www.idealista.pt/imovel/34847881/,100,,"Rua das Mercês, 18, Calçada da Ajuda - Belém, Ajuda"
1499,"Apartamento T1 no Largo Rio Seco, Boa Hora, Ajuda",https://www.idealista.pt/imovel/34805322/,43,T1,
1093,"Apartamento T1 no Beco João Alves, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34792036/,42,T1,
1200,"Apartamento T1 no Beco João Alves, 4, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34849746/,55,T1,
1200,"Apartamento T1,  Calçada da Ajuda, Calçada da Ajuda - Belém, Ajuda",https://www.idealista.pt/imovel/34817893/,68,T1,
1850,"Moradia independente na Travessa Nova de Dom Vasco, Boa Hora, Ajuda",https://www.idealista.pt/imovel/34473412/,88,,"Travessa Nova de Dom Vasco, Boa Hora, Ajuda"
1250,"Apartamento T2 na Travessa Fornos, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34768095/,62,T2,"Travessa Fornos, Rio Seco - Casalinho, Ajuda"
1500,"Apartamento T1 na Travessa do Pardal, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34597509/,35,T1,"Travessa do Pardal, Rio Seco - Casalinho, Ajuda"
2050,"Apartamento T2 na Travessa do Pardal, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34561454/,100,T2,"Travessa do Pardal, Rio Seco - Casalinho, Ajuda"
1500,"Apartamento T1 na Travessa da Madressilva, Calçada da Ajuda - Belém, Ajuda",https://www.idealista.pt/imovel/34676014/,30,T1,"Travessa da Madressilva, Calçada da Ajuda - Belém, Ajuda"
