price,title,url,location,area_m2,typology,source_file,price_per_m2,furnished,balcony,terrace,ac,elevator,parking,kitchen_equipped,renovated,bills_included,bathrooms,bedrooms,value_score
915,"Apartamento T0 no Beco João Alves, 3, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34803526/,,40,T0,data/lisboa_ajuda_listings.csv,22.875,False,False,False,False,,False,False,False,False,,,28.125
800,"Apartamento T1 em Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34727469/,,35,T1,data/lisboa_ajuda_listings.csv,22.857142857142858,False,False,False,False,,False,False,False,False,,,27.142857142857142
970,"Apartamento T0 no Beco João Alves, 2, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/33110273/,,40,T0,data/lisboa_ajuda_listings.csv,24.25,False,False,False,False,,False,False,False,False,,,26.75
970,"Apartamento T0 no Beco João Alves, 2, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34817020/,,40,T0,data/lisboa_ajuda_listings.csv,24.25,False,False,False,False,,False,False,False,False,,,26.75
1093,"Apartamento T1 no Beco João Alves, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34777389/,,44,T1,data/lisboa_ajuda_listings.csv,24.84090909090909,False,False,False,False,,False,False,False,False,,,26.15909090909091
1100,"Apartamento T1 na Travessa do Gibraltar, Alvito - Quinta do Jacinto, Alcântara",https://www.idealista.pt/imovel/34766697/,"Travessa do Gibraltar, Alvito - Quinta do Jacinto, Alcântara",44,T1,data/lisboa_alcantara_listings.csv,25.0,False,False,False,False,,False,False,False,False,,,26.0
1001,"Apartamento T0 no Beco João Alves, 3, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/33404488/,,40,T0,data/lisboa_ajuda_listings.csv,25.025,False,False,False,False,,False,False,False,False,,,25.975
1001,"Apartamento T0 no Beco João Alves, 3, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34806989/,,40,T0,data/lisboa_ajuda_listings.csv,25.025,False,False,False,False,,False,False,False,False,,,25.975
1180,"Apartamento T1 no Largo do Calvário, Largo do Calvário - Lx Factory, Alcântara",https://www.idealista.pt/imovel/34602502/,,47,T1,data/lisboa_alcantara_listings.csv,25.106382978723403,False,False,False,False,,False,False,False,False,,,25.893617021276597
1093,"Apartamento T1 no Beco João Alves, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34792036/,,42,T1,data/lisboa_ajuda_listings.csv,26.02380952380953,False,False,False,False,,False,False,False,False,,,24.97619047619047
1075,"Apartamento T0 na Travessa Artur Lamas, s/n, Junqueira, Alcântara",https://www.idealista.pt/imovel/34780316/,"Travessa Artur Lamas, s/n, Junqueira, Alcântara",40,T0,data/lisboa_alcantara_listings.csv,26.875,False,False,False,False,,False,False,False,False,,,24.125
1100,"Apartamento T0 na Travessa da Memória, 18, Calçada da Ajuda - Belém, Ajuda",https://www.idealista.pt/imovel/34579935/,"Travessa da Memória, 18, Calçada da Ajuda - Belém, Ajuda",40,T0,data/lisboa_ajuda_listings.csv,27.5,False,False,False,False,,False,False,False,False,,,23.5
1125,"Apartamento T0 na Travessa Artur Lamas, s/n, Junqueira, Alcântara",https://www.idealista.pt/imovel/34794468/,"Travessa Artur Lamas, s/n, Junqueira, Alcântara",40,T0,data/lisboa_alcantara_listings.csv,28.125,False,False,False,False,,False,False,False,False,,,22.875
1125,"Apartamento T0 na Travessa Artur Lamas, s/n, Junqueira, Alcântara",https://www.idealista.pt/imovel/34616472/,"Travessa Artur Lamas, s/n, Junqueira, Alcântara",40,T0,data/lisboa_alcantara_listings.csv,28.125,False,False,False,False,,False,False,False,False,,,22.875
1000,"Apartamento T1 na Rua Rodrigues de Faria, 107, Largo do Calvário - Lx Factory, Alcântara",https://www.idealista.pt/imovel/34814868/,"Rua Rodrigues de Faria, 107, Largo do Calvário - Lx Factory, Alcântara",35,T1,data/lisboa_alcantara_listings.csv,28.571428571428573,False,False,False,False,,False,False,False,False,,,21.428571428571427
750,"Apartamento T0 na Rua das Chaminés D'El-Rei, 39, Caramão da Ajuda, Ajuda",https://www.idealista.pt/imovel/34575941/,"Rua das Chaminés D'El-Rei, 39, Caramão da Ajuda, Ajuda",25,T0,data/lisboa_ajuda_listings.csv,30.0,False,False,False,False,,False,False,False,False,,,20.0
919,"Apartamento T0 no Largo do Calvário, Largo do Calvário - Lx Factory, Alcântara",https://www.idealista.pt/imovel/34404843/,,30,T0,data/lisboa_alcantara_listings.csv,30.633333333333333,False,False,False,False,,False,False,False,False,,,19.366666666666667
800,"Apartamento T0 na Rua Amadeu de Sousa Cardoso, s/n, Alto de Santo Amaro, Alcântara",https://www.idealista.pt/imovel/34822424/,"Rua Amadeu de Sousa Cardoso, s/n, Alto de Santo Amaro, Alcântara",25,T0,data/lisboa_alcantara_listings.csv,32.0,False,False,False,False,,False,False,False,False,,,18.0
998,"Apartamento T0 no Largo do Calvário, Largo do Calvário - Lx Factory, Alcântara",https://www.idealista.pt/imovel/34404788/,,30,T0,data/lisboa_alcantara_listings.csv,33.266666666666666,False,False,False,False,,False,False,False,False,,,16.733333333333334
850,"Apartamento T0 na Rua do cruzeiro, 199, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/32853662/,"Rua do cruzeiro, 199, Rio Seco - Casalinho, Ajuda",25,T0,data/lisboa_ajuda_listings.csv,34.0,False,False,False,False,,False,False,False,False,,,16.0
950,"Apartamento T0 na Rua Giovanni Antinori, 1, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/30786570/,"Rua Giovanni Antinori, 1, Rio Seco - Casalinho, Ajuda",25,T0,data/lisboa_ajuda_listings.csv,38.0,False,False,False,False,,False,False,False,False,,,12.0
1035,"Apartamento T0 na Rua Aliança Operária, 2, Alto de Alcântara, Alcântara",https://www.idealista.pt/imovel/34809532/,"Rua Aliança Operária, 2, Alto de Alcântara, Alcântara",24,T0,data/lisboa_alcantara_listings.csv,43.125,False,False,False,False,,False,False,False,False,,,6.875
660,"Apartamento T0 no Bairro do Alvito, 47, Alvito - Quinta do Jacinto, Alcântara",https://www.idealista.pt/imovel/31376270/,,15,T0,data/lisboa_alcantara_listings.csv,44.0,False,False,False,False,,False,False,False,False,,,6.0
1173,"Apartamento T0 no Beco João Alves, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34806511/,,24,T0,data/lisboa_ajuda_listings.csv,48.875,False,False,False,False,,False,False,False,False,,,1.125
760,"Apartamento T0,  R. Aliança Operária, 2, Alto de Alcântara, Alcântara",https://www.idealista.pt/imovel/33115927/,,11,T0,data/lisboa_alcantara_listings.csv,69.0909090909091,False,False,False,False,,False,False,False,False,,,0.0
870,"Apartamento T0 no Beco João Alves, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34746289/,,10,T0,data/lisboa_ajuda_listings.csv,87.0,False,False,False,False,,False,False,False,False,,,0.0
