price,title,url,area_m2,typology,location,source_file,price_per_m2,furnished,balcony,terrace,ac,elevator,parking,kitchen_equipped,renovated,bills_included,bathrooms,bedrooms,value_score,coords,distance_to_work_km,distance_to_school_km,distance_score,total_score,price_score,area_score,distance_work_score,ner,porta65_subsidy,base_percentage,tier,irs_credit,total_support,discount_pct,is_aru,parish,rmr,rmr_excess,ner_per_m2,ner_tier2,porta65_subsidy_tier2,total_support_tier2,discount_pct_tier2,ner_per_m2_tier2
950,"Apartamento T1 na Travessa de São Jerónimo, Alvito - Quinta do Jacinto, Alcântara",https://www.idealista.pt/imovel/34851984/,45,T1,"Travessa de São Jerónimo, Alvito - Quinta do Jacinto, Alcântara",data/lisboa_alcantara_listings.csv,21.11111111111111,False,False,False,False,,False,False,False,False,,,29.88888888888889,,,,0.0,29.88888888888889,1.6,2.8,,366.79999999999995,508.2,50.0,1,75,583.2,61.38947368421053,True,Alcântara,847,103,8.15111111111111,468.44,406.56,481.56,50.69052631578948,10.409777777777778
1100,"Apartamento T2 na Rua Cruz a Alcântara, 36, Alvito - Quinta do Jacinto, Alcântara",https://www.idealista.pt/imovel/33157926/,42,T2,"Rua Cruz a Alcântara, 36, Alvito - Quinta do Jacinto, Alcântara",data/lisboa_alcantara_listings.csv,26.19047619047619,False,False,False,False,,False,False,False,False,,,29.80952380952381,,,,0.0,29.80952380952381,4.6,1.0,,369.20000000000005,655.8,50.0,1,75,730.8,66.43636363636362,True,Alcântara,1093,7,8.790476190476191,500.36,524.64,599.64,54.51272727272727,11.913333333333334
1100,"Apartamento T2 na Travessa do Gibraltar, Alvito - Quinta do Jacinto, Alcântara",https://www.idealista.pt/imovel/34839733/,55,T2,"Travessa do Gibraltar, Alvito - Quinta do Jacinto, Alcântara",data/lisboa_alcantara_listings.csv,20.0,False,False,False,False,,False,False,False,False,,,38.0,,,,0.0,38.0,4.6,2.6,,369.20000000000005,655.8,50.0,1,75,730.8,66.43636363636362,True,Alcântara,1093,7,6.712727272727274,500.36,524.64,599.64,54.51272727272727,9.097454545454546
850,"Apartamento T0 na Rua do cruzeiro, 199, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/32853662/,25,T0,"Rua do cruzeiro, 199, Rio Seco - Casalinho, Ajuda",data/lisboa_ajuda_listings.csv,34.0,False,False,False,False,,False,False,False,False,,,16.0,,,,0.0,16.0,2.0,1.8,,385.6,389.4,50.0,1,75,464.4,54.63529411764706,True,Ajuda,649,201,15.424000000000001,463.47999999999996,311.52000000000004,386.52000000000004,45.47294117647059,18.539199999999997
980,"Andar de moradia na Estrada da Cruz, 92, Caramão da Ajuda, Ajuda",https://www.idealista.pt/imovel/34851376/,65,,"Estrada da Cruz, 92, Caramão da Ajuda, Ajuda",data/lisboa_ajuda_listings.csv,15.076923076923077,False,False,False,False,,False,False,False,False,,,39.92307692307692,"(38.7118542, -9.2085535)",0.6870995981837054,5.238168632534563,39.73789845755519,79.66097538063211,,,,396.79999999999995,508.2,50.0,1,75,583.2,59.51020408163266,True,Ajuda,847,133,6.104615384615384,498.44,406.56,481.56,49.13877551020408,7.6683076923076925
980,"Apartamento T1 na Estrada da cruz, 94, Caramão da Ajuda, Ajuda",https://www.idealista.pt/imovel/31443190/,60,T1,"Estrada da cruz, 94, Caramão da Ajuda, Ajuda",data/lisboa_ajuda_listings.csv,16.333333333333332,False,False,False,False,,False,False,False,False,,,38.66666666666667,"(38.7118542, -9.2085535)",0.6870995981837054,5.238168632534563,39.73789845755519,78.40456512422186,2.0,4.1,,396.79999999999995,508.2,50.0,1,75,583.2,59.51020408163266,True,Ajuda,847,133,6.613333333333332,498.44,406.56,481.56,49.13877551020408,8.307333333333334
900,"Apartamento T1 na Rua Arco do Carvalhão, 35, Centro, Campolide",https://www.idealista.pt/imovel/30543042/,40,T1,"Rua Arco do Carvalhão, 35, Centro, Campolide",data/lisboa_campolide_listings.csv,22.5,False,False,False,False,,False,False,False,False,,,28.5,,,,0.0,28.5,1.2,1.6,,401.5,423.5,50.0,1,75,498.5,55.388888888888886,False,,847,53,10.0375,486.2,338.8,413.8,45.97777777777778,12.155
1000,"Apartamento T2 na Praceta Ângelo Veloso, Alfragide, Amadora",https://www.idealista.pt/imovel/28966744/,80,T2,"Praceta Ângelo Veloso, Alfragide, Amadora",data/lisboa_alfragide_listings.csv,12.5,False,False,False,False,,False,False,False,False,,,47.5,"(38.7391037, -9.2134122)",3.7362933723270464,5.128101376918057,29.23082113147825,76.73082113147825,3.4,4.6,,425.0,500.0,50.0,1,75,575.0,57.49999999999999,False,,1093,0,5.3125,525.0,400.0,475.0,47.5,6.5625
850,"Apartamento T0 no Beco João Alves, 3, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34814425/,40,T0,,data/lisboa_ajuda_listings.csv,21.25,False,False,False,False,,False,False,False,False,,,29.75,,,,0.0,29.75,2.0,3.5,,450.5,324.5,50.0,1,75,399.5,47.0,False,,649,201,11.2625,515.4,259.6,334.6,39.36470588235294,12.885
850,"Apartamento T0 no Beco João Alves, 3, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34812075/,40,T0,,data/lisboa_ajuda_listings.csv,21.25,False,False,False,False,,False,False,False,False,,,29.75,,,,0.0,29.75,2.0,3.5,,450.5,324.5,50.0,1,75,399.5,47.0,False,,649,201,11.2625,515.4,259.6,334.6,39.36470588235294,12.885
870,"Apartamento T0 no Beco João Alves, 3, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34809700/,40,T0,,data/lisboa_ajuda_listings.csv,21.75,False,False,False,False,,False,False,False,False,,,29.25,,,,0.0,29.25,2.3,3.5,,470.5,324.5,50.0,1,75,399.5,45.91954022988506,False,,649,221,11.7625,535.4,259.6,334.6,38.45977011494253,13.385
880,"Apartamento T0 na Rua de Campolide, 133, Centro, Campolide",https://www.idealista.pt/imovel/34713950/,28,T0,"Rua de Campolide, 133, Centro, Campolide",data/lisboa_campolide_listings.csv,31.428571428571427,False,False,False,False,,False,False,False,False,,,18.571428571428573,,,,0.0,18.571428571428573,2.5,2.3,,480.5,324.5,50.0,1,75,399.5,45.39772727272727,False,,649,231,17.160714285714285,545.4,259.6,334.6,38.02272727272727,19.478571428571428
900,"Apartamento T0 na Rua b Ao Bairro da Liberdade, 85, Bairro da Serafina, Campolide",https://www.idealista.pt/imovel/34764482/,41,T0,"Rua b Ao Bairro da Liberdade, 85, Bairro da Serafina, Campolide",data/lisboa_campolide_listings.csv,21.951219512195124,False,False,False,False,,False,False,False,False,,,29.04878048780488,,,,0.0,29.04878048780488,2.9,4.5,,500.5,324.5,50.0,1,75,399.5,44.388888888888886,False,,649,251,12.207317073170731,565.4,259.6,334.6,37.177777777777784,13.790243902439023
900,"Apartamento T0 na Rua Inácio Pardelhas Sanchez, Bairro da Serafina, Campolide",https://www.idealista.pt/imovel/34767786/,41,T0,"Rua Inácio Pardelhas Sanchez, Bairro da Serafina, Campolide",data/lisboa_campolide_listings.csv,21.951219512195124,False,False,False,False,,False,False,False,False,,,29.04878048780488,,,,0.0,29.04878048780488,2.9,4.5,,500.5,324.5,50.0,1,75,399.5,44.388888888888886,False,,649,251,12.207317073170731,565.4,259.6,334.6,37.177777777777784,13.790243902439023
900,"Apartamento T0 na Rua Dona Maria Ana de Áustria, Bairro da Serafina, Campolide",https://www.idealista.pt/imovel/34788310/,26,T0,"Rua Dona Maria Ana de Áustria, Bairro da Serafina, Campolide",data/lisboa_campolide_listings.csv,34.61538461538461,False,False,False,False,,False,False,False,False,,,15.384615384615389,"(38.7326187, -9.1728821)",4.308508161008431,1.5653910889416809,32.57213480305797,47.95675018767336,2.9,2.1,5.0,500.5,324.5,50.0,1,75,399.5,44.388888888888886,False,,649,251,19.25,565.4,259.6,334.6,37.177777777777784,21.746153846153845
1000,"Apartamento T1 na Rua Arco do Carvalhão, 75, Centro, Campolide",https://www.idealista.pt/imovel/34814996/,31,T1,"Rua Arco do Carvalhão, 75, Centro, Campolide",data/lisboa_campolide_listings.csv,32.25806451612903,False,False,False,False,,False,False,False,False,,,17.741935483870968,,,,0.0,17.741935483870968,2.4,1.0,,501.5,423.5,50.0,1,75,498.5,49.85,False,,847,153,16.177419354838708,586.2,338.8,413.8,41.38,18.90967741935484
1000,"Apartamento T1 na Rua Dom Carlos de Mascarenhas, Centro, Campolide",https://www.idealista.pt/imovel/34783316/,80,T1,"Rua Dom Carlos de Mascarenhas, Centro, Campolide",data/lisboa_campolide_listings.csv,12.5,False,False,False,False,,False,False,False,False,,,42.5,,,,0.0,42.5,2.4,4.9,,501.5,423.5,50.0,1,75,498.5,49.85,False,,847,153,6.26875,586.2,338.8,413.8,41.38,7.327500000000001
1000,"Apartamento T1 na Rua Arco do Carvalhão, 35, Centro, Campolide",https://www.idealista.pt/imovel/33018222/,50,T1,"Rua Arco do Carvalhão, 35, Centro, Campolide",data/lisboa_campolide_listings.csv,20.0,False,False,False,False,,False,False,False,False,,,33.0,,,,0.0,33.0,2.4,3.2,,501.5,423.5,50.0,1,75,498.5,49.85,False,,847,153,10.03,586.2,338.8,413.8,41.38,11.724
920,"Apartamento T0 no Beco João Alves, 3, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34803526/,40,T0,,data/lisboa_ajuda_listings.csv,23.0,False,False,False,False,,False,False,False,False,,,28.0,,,,0.0,28.0,3.3,3.5,,520.5,324.5,50.0,1,75,399.5,43.423913043478265,False,,649,271,13.0125,585.4,259.6,334.6,36.36956521739131,14.635
1050,"Apartamento T1 na Rua General Taborda, 26, Centro, Campolide",https://www.idealista.pt/imovel/34846611/,33,T1,"Rua General Taborda, 26, Centro, Campolide",data/lisboa_campolide_listings.csv,31.818181818181817,False,False,False,False,,False,False,False,False,,,18.181818181818183,,,,0.0,18.181818181818183,2.8,1.2,,551.5,423.5,50.0,1,75,498.5,47.476190476190474,False,,847,203,16.71212121212121,636.2,338.8,413.8,39.40952380952381,19.27878787878788
1150,"Apartamento T1 na Rua Paz à Ajuda, 8, Calçada da Ajuda - Belém, Ajuda",https://www.idealista.pt/imovel/34826998/,40,T1,"Rua Paz à Ajuda, 8, Calçada da Ajuda - Belém, Ajuda",data/lisboa_ajuda_listings.csv,28.75,False,False,False,False,,False,False,False,False,,,22.25,,,,0.0,22.25,4.6,1.6,,566.8,508.2,50.0,1,75,583.2,50.71304347826088,True,Ajuda,847,303,14.169999999999998,668.44,406.56,481.56,41.874782608695654,16.711000000000002
970,"Apartamento T0 no Beco João Alves, 2, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34817020/,40,T0,,data/lisboa_ajuda_listings.csv,24.25,False,False,False,False,,False,False,False,False,,,26.75,,,,0.0,26.75,3.5,3.5,,570.5,324.5,50.0,1,75,399.5,41.18556701030928,False,,649,321,14.2625,635.4,259.6,334.6,34.49484536082474,15.885
1093,"Apartamento T1 no Beco João Alves, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34792036/,42,T1,,data/lisboa_ajuda_listings.csv,26.02380952380953,False,False,False,False,,False,False,False,False,,,24.97619047619047,,,,0.0,24.97619047619047,3.1,2.1,,594.5,423.5,50.0,1,75,498.5,45.60841720036596,False,,847,246,14.154761904761905,679.2,338.8,413.8,37.85910338517841,16.17142857142857
1093,"Apartamento T1 no Beco João Alves, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34777389/,44,T1,,data/lisboa_ajuda_listings.csv,24.84090909090909,False,False,False,False,,False,False,False,False,,,26.15909090909091,,,,0.0,26.15909090909091,3.1,2.4,,594.5,423.5,50.0,1,75,498.5,45.60841720036596,False,,847,246,13.511363636363637,679.2,338.8,413.8,37.85910338517841,15.436363636363637
998,"Apartamento T0 no Largo do Calvário, Largo do Calvário - Lx Factory, Alcântara",https://www.idealista.pt/imovel/34404788/,30,T0,,data/lisboa_alcantara_listings.csv,33.266666666666666,False,False,False,False,,False,False,False,False,,,16.733333333333334,,,,0.0,16.733333333333334,3.7,2.5,,598.5,324.5,50.0,1,75,399.5,40.03006012024048,False,,649,349,19.95,663.4,259.6,334.6,33.52705410821643,22.113333333333333
1100,"Apartamento T1 na Rua Arco do Carvalhão, Centro, Campolide",https://www.idealista.pt/imovel/34797595/,80,T1,"Rua Arco do Carvalhão, Centro, Campolide",data/lisboa_campolide_listings.csv,13.75,False,False,False,False,,False,False,False,False,,,41.25,,,,0.0,41.25,3.8,4.9,,601.5,423.5,50.0,1,75,498.5,45.31818181818182,False,,847,253,7.51875,686.2,338.8,413.8,37.61818181818182,8.5775
1100,"Apartamento T1 na Rua Professor Sousa da Câmara, Centro, Campolide",https://www.idealista.pt/imovel/34796095/,65,T1,"Rua Professor Sousa da Câmara, Centro, Campolide",data/lisboa_campolide_listings.csv,16.923076923076923,False,False,False,False,,False,False,False,False,,,38.07692307692308,,,,0.0,38.07692307692308,3.8,4.6,,601.5,423.5,50.0,1,75,498.5,45.31818181818182,False,,847,253,9.253846153846155,686.2,338.8,413.8,37.61818181818182,10.556923076923077
1100,"Apartamento T1 na Rua de Campolide, 152, Centro, Campolide",https://www.idealista.pt/imovel/34860028/,61,T1,"Rua de Campolide, 152, Centro, Campolide",data/lisboa_campolide_listings.csv,18.0327868852459,False,False,False,False,,False,False,False,False,,,36.9672131147541,,,,0.0,36.9672131147541,3.8,4.4,,601.5,423.5,50.0,1,75,498.5,45.31818181818182,False,,847,253,9.860655737704919,686.2,338.8,413.8,37.61818181818182,11.249180327868853
1100,"Apartamento T1 na Rua Conde das Antas, Centro, Campolide",https://www.idealista.pt/imovel/34782219/,45,T1,"Rua Conde das Antas, Centro, Campolide",data/lisboa_campolide_listings.csv,24.444444444444443,False,False,False,False,,False,False,False,False,,,26.55555555555556,,,,0.0,26.55555555555556,3.8,2.8,,601.5,423.5,50.0,1,75,498.5,45.31818181818182,False,,847,253,13.366666666666667,686.2,338.8,413.8,37.61818181818182,15.24888888888889
1100,"Apartamento T1 na Rua Conde das Antas, Centro, Campolide",https://www.idealista.pt/imovel/34786339/,56,T1,"Rua Conde das Antas, Centro, Campolide",data/lisboa_campolide_listings.csv,19.642857142857142,False,False,False,False,,False,False,False,False,,,33.35714285714286,,,,0.0,33.35714285714286,3.8,3.8,,601.5,423.5,50.0,1,75,498.5,45.31818181818182,False,,847,253,10.741071428571429,686.2,338.8,413.8,37.61818181818182,12.25357142857143
1001,"Apartamento T0 no Beco João Alves, 3, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34806989/,40,T0,,data/lisboa_ajuda_listings.csv,25.025,False,False,False,False,,False,False,False,False,,,25.975,,,,0.0,25.975,3.9,3.5,,601.5,324.5,50.0,1,75,399.5,39.91008991008991,False,,649,352,15.0375,666.4,259.6,334.6,33.426573426573434,16.66
1190,"Apartamento T1 na Rua Comandante Assis Camilo, Centro da Ajuda, Ajuda",https://www.idealista.pt/imovel/34336205/,42,T1,"Rua Comandante Assis Camilo, Centro da Ajuda, Ajuda",data/lisboa_ajuda_listings.csv,28.33333333333333,False,False,False,False,,False,False,False,False,,,22.66666666666667,,,,0.0,22.66666666666667,5.0,2.1,,606.8,508.2,50.0,1,75,583.2,49.00840336134454,True,Ajuda,847,343,14.447619047619046,708.44,406.56,481.56,40.4672268907563,16.867619047619048
1075,"Apartamento T0 na Travessa Artur Lamas, s/n, Junqueira, Alcântara",https://www.idealista.pt/imovel/34844874/,40,T0,"Travessa Artur Lamas, s/n, Junqueira, Alcântara",data/lisboa_alcantara_listings.csv,26.875,False,False,False,False,,False,False,False,False,,,24.125,"(38.699829, -9.1921766)",1.562932872224463,4.931152121443157,37.13300676504964,61.25800676504964,4.0,3.5,3.0,610.6,389.4,50.0,1,75,464.4,43.2,True,Junqueira,649,426,15.265,688.48,311.52000000000004,386.52000000000004,35.95534883720931,17.212
1100,"Apartamento T0 na Travessa da Memória, 18, Calçada da Ajuda - Belém, Ajuda",https://www.idealista.pt/imovel/34579935/,40,T0,"Travessa da Memória, 18, Calçada da Ajuda - Belém, Ajuda",data/lisboa_ajuda_listings.csv,27.5,False,False,False,False,,False,False,False,False,,,23.5,,,,0.0,23.5,4.3,3.5,,635.6,389.4,50.0,1,75,464.4,42.21818181818182,True,Ajuda,649,451,15.89,713.48,311.52000000000004,386.52000000000004,35.13818181818182,17.837
1139,"Apartamento T1 no Beco João Alves, 4, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34839454/,55,T1,,data/lisboa_ajuda_listings.csv,20.70909090909091,False,False,False,False,,False,False,False,False,,,32.29090909090909,,,,0.0,32.29090909090909,4.4,3.5,,640.5,423.5,50.0,1,75,498.5,43.76646180860404,False,,847,292,11.645454545454545,725.2,338.8,413.8,36.33011413520632,13.185454545454546
1150,"Andar de moradia,  Vila Maria, Centro, Campolide",https://www.idealista.pt/imovel/34842350/,60,,,data/lisboa_campolide_listings.csv,19.166666666666668,False,False,False,False,,False,False,False,False,,,35.83333333333333,,,,0.0,35.83333333333333,,,,651.5,423.5,50.0,1,75,498.5,43.34782608695652,False,,847,303,10.858333333333333,736.2,338.8,413.8,35.982608695652175,12.270000000000001
1125,"Apartamento T0 na Travessa Artur Lamas, s/n, Junqueira, Alcântara",https://www.idealista.pt/imovel/34858234/,40,T0,"Travessa Artur Lamas, s/n, Junqueira, Alcântara",data/lisboa_alcantara_listings.csv,28.125,False,False,False,False,,False,False,False,False,,,22.875,"(38.699829, -9.1921766)",1.562932872224463,4.931152121443157,37.13300676504964,60.00800676504964,4.6,3.5,3.0,660.6,389.4,50.0,1,75,464.4,41.28,True,Junqueira,649,476,16.515,738.48,311.52000000000004,386.52000000000004,34.35733333333334,18.462
1173,"Apartamento T1 no Beco João Alves, 4, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34844873/,55,T1,,data/lisboa_ajuda_listings.csv,21.327272727272728,False,False,False,False,,False,False,False,False,,,31.672727272727272,,,,0.0,31.672727272727272,4.8,3.5,,674.5,423.5,50.0,1,75,498.5,42.49786871270248,False,,847,326,12.263636363636364,759.2,338.8,413.8,35.27706734867861,13.803636363636365
1100,"Apartamento T0,  Calçada da Quintinha, Bairro Calçada dos Mestres, Campolide",https://www.idealista.pt/imovel/34739904/,53,T0,,data/lisboa_campolide_listings.csv,20.75471698113208,False,False,False,False,,False,False,False,False,,,32.24528301886792,,,,0.0,32.24528301886792,4.3,4.9,,700.5,324.5,50.0,1,75,399.5,36.31818181818181,False,,649,451,13.216981132075471,765.4,259.6,334.6,30.41818181818182,14.441509433962263
1150,"Apartamento T0,  Calçada da Quintinha, Bairro Calçada dos Mestres, Campolide",https://www.idealista.pt/imovel/34449712/,53,T0,,data/lisboa_campolide_listings.csv,21.69811320754717,False,False,False,False,,False,False,False,False,,,31.30188679245283,,,,0.0,31.30188679245283,4.8,4.9,,750.5,324.5,50.0,1,75,399.5,34.73913043478261,False,,649,501,14.160377358490566,815.4,259.6,334.6,29.095652173913045,15.384905660377358
1173,"Apartamento T0 no Beco João Alves, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34806511/,24,T0,,data/lisboa_ajuda_listings.csv,48.875,False,False,False,False,,False,False,False,False,,,1.125,,,,0.0,1.125,5.0,1.4,,773.5,324.5,50.0,1,75,399.5,34.05797101449276,False,,649,524,32.229166666666664,838.4,259.6,334.6,28.525149190110827,34.93333333333333
