price,title,url,typology,location,area_m2
1850,"Apartamento T2 na Rua Arco do Carvalhão, Centro, Campolide",https://www.idealista.pt/imovel/34708466/,T2,"Rua Arco do Carvalhão, Centro, Campolide",71
2200,"Apartamento T2 na Rua de Campolide, Praça de Espanha - Sete Rios, Campolide",https://www.idealista.pt/imovel/34497182/,T2,"Rua de Campolide, Praça de Espanha - Sete Rios, Campolide",130
1250,"Apartamento T2 na Rua Inácio Pardelhas Sanchez, Bairro da Serafina, Campolide",https://www.idealista.pt/imovel/34014088/,T2,"Rua Inácio Pardelhas Sanchez, Bairro da Serafina, Campolide",72
900,"Apartamento T0 na Rua Inácio Pardelhas Sanchez, Bairro da Serafina, Campolide",https://www.idealista.pt/imovel/34767786/,T0,"Rua Inácio Pardelhas Sanchez, Bairro da Serafina, Campolide",41
6000,"Apartamento T3 na Rua de Campolide, Nova Campolide, Campolide",https://www.idealista.pt/imovel/33875555/,T3,"Rua de Campolide, Nova Campolide, Campolide",230
1850,"Apartamento T2 na Rua 6, Bairro Calçada dos Mestres, Campolide",https://www.idealista.pt/imovel/34771355/,T2,"Rua 6, Bairro Calçada dos Mestres, Campolide",90
1100,"Apartamento T1 na Rua Conde das Antas, Centro, Campolide",https://www.idealista.pt/imovel/34786339/,T1,"Rua Conde das Antas, Centro, Campolide",56
1100,"Apartamento T1 na Rua Conde das Antas, Centro, Campolide",https://www.idealista.pt/imovel/34782219/,T1,"Rua Conde das Antas, Centro, Campolide",45
1400,"Apartamento T2 na Rua Conde das Antas, s/n, Centro, Campolide",https://www.idealista.pt/imovel/34718576/,T2,"Rua Conde das Antas, s/n, Centro, Campolide",65
2000,"Apartamento T1 em Nova Campolide, Campolide",https://www.idealista.pt/imovel/34724024/,T1,,158
1350,"Apartamento T2 na Rua de Campolide, Praça de Espanha - Sete Rios, Campolide",https://www.idealista.pt/imovel/34652628/,T2,"Rua de Campolide, Praça de Espanha - Sete Rios, Campolide",110
2100,"Apartamento T2 na Rua Vítor Bastos, Centro, Campolide",https://www.idealista.pt/imovel/34731280/,T2,"Rua Vítor Bastos, Centro, Campolide",129
2750,"Apartamento T2 na Rua Professor Sousa da Câmara, Centro, Campolide",https://www.idealista.pt/imovel/33968014/,T2,"Rua Professor Sousa da Câmara, Centro, Campolide",120
1100,"Apartamento T0,  Calçada da Quintinha, Bairro Calçada dos Mestres, Campolide",https://www.idealista.pt/imovel/34739904/,T0,,53
5500,"Apartamento T2 na Rua de Campolide, Nova Campolide, Campolide",https://www.idealista.pt/imovel/33722890/,T2,"Rua de Campolide, Nova Campolide, Campolide",138
3450,"Apartamento T2 na Rua de Campolide, Nova Campolide, Campolide",https://www.idealista.pt/imovel/33317683/,T2,"Rua de Campolide, Nova Campolide, Campolide",135
1100,"Apartamento T1 na Rua Arco do Carvalhão, Centro, Campolide",https://www.idealista.pt/imovel/34797595/,T1,"Rua Arco do Carvalhão, Centro, Campolide",80
2000,"Apartamento T2 na Rua Particular Nº 1, Praça de Espanha - Sete Rios, Campolide",https://www.idealista.pt/imovel/34504404/,T2,"Rua Particular Nº 1, Praça de Espanha - Sete Rios, Campolide",69
1250,"Apartamento T0,  Calçada da Quintinha, Bairro Calçada dos Mestres, Campolide",https://www.idealista.pt/imovel/34468133/,T0,,53
1200,"Apartamento T1 na Rua de Campolide, Nova Campolide, Campolide",https://www.idealista.pt/imovel/34745032/,T1,"Rua de Campolide, Nova Campolide, Campolide",66
1150,"Apartamento T0,  Calçada da Quintinha, Bairro Calçada dos Mestres, Campolide",https://www.idealista.pt/imovel/34449712/,T0,,53
