price,title,url,area_m2,typology,location,source_file,price_per_m2,furnished,balcony,terrace,ac,elevator,parking,kitchen_equipped,renovated,bills_included,bathrooms,bedrooms,value_score,coords,distance_to_work_km,distance_to_school_km,distance_score,total_score,price_score,area_score,distance_work_score
980,"Andar de moradia na Estrada da Cruz, 92, Caramão da Ajuda, Ajuda",https://www.idealista.pt/imovel/34851376/,65,,"Estrada da Cruz, 92, Caramão da Ajuda, Ajuda",data/lisboa_ajuda_listings.csv,15.076923076923077,False,False,False,False,,False,False,False,False,,,39.92307692307692,"(38.7118542, -9.2085535)",0.6870995981837054,5.238168632534563,39.73789845755519,79.66097538063211,,,
980,"Apartamento T1 na Estrada da cruz, 94, Caramão da Ajuda, Ajuda",https://www.idealista.pt/imovel/31443190/,60,T1,"Estrada da cruz, 94, Caramão da Ajuda, Ajuda",data/lisboa_ajuda_listings.csv,16.333333333333332,False,False,False,False,,False,False,False,False,,,38.66666666666667,"(38.7118542, -9.2085535)",0.6870995981837054,5.238168632534563,39.73789845755519,78.40456512422186,2.0,4.1,
1000,"Apartamento T2 na Praceta Ângelo Veloso, Alfragide, Amadora",https://www.idealista.pt/imovel/28966744/,80,T2,"Praceta Ângelo Veloso, Alfragide, Amadora",data/lisboa_alfragide_listings.csv,12.5,False,False,False,False,,False,False,False,False,,,47.5,"(38.7391037, -9.2134122)",3.7362933723270464,5.128101376918057,29.23082113147825,76.73082113147825,3.4,4.6,
1075,"Apartamento T0 na Travessa Artur Lamas, s/n, Junqueira, Alcântara",https://www.idealista.pt/imovel/34844874/,40,T0,"Travessa Artur Lamas, s/n, Junqueira, Alcântara",data/lisboa_alcantara_listings.csv,26.875,False,False,False,False,,False,False,False,False,,,24.125,"(38.699829, -9.1921766)",1.562932872224463,4.931152121443157,37.13300676504964,61.25800676504964,4.0,3.5,3.0
1125,"Apartamento T0 na Travessa Artur Lamas, s/n, Junqueira, Alcântara",https://www.idealista.pt/imovel/34858234/,40,T0,"Travessa Artur Lamas, s/n, Junqueira, Alcântara",data/lisboa_alcantara_listings.csv,28.125,False,False,False,False,,False,False,False,False,,,22.875,"(38.699829, -9.1921766)",1.562932872224463,4.931152121443157,37.13300676504964,60.00800676504964,4.6,3.5,3.0
750,"Apartamento T0 na Rua das Chaminés D'El-Rei, 39, Caramão da Ajuda, Ajuda",https://www.idealista.pt/imovel/34575941/,25,T0,"Rua das Chaminés D'El-Rei, 39, Caramão da Ajuda, Ajuda",data/lisboa_ajuda_listings.csv,30.0,False,False,False,False,,False,False,False,False,,,20.0,"(38.7135068, -9.2041726)",0.9493989025476766,4.815398250161438,39.454006465840976,59.454006465840976,1.2,1.8,1.0
900,"Apartamento T2 na Rua do Alvito, 80, Alvito - Quinta do Jacinto, Alcântara",https://www.idealista.pt/imovel/34855184/,80,T2,"Rua do Alvito, 80, Alvito - Quinta do Jacinto, Alcântara",data/lisboa_alcantara_listings.csv,11.25,False,False,False,False,,False,False,False,False,,,48.75,,,,0.0,48.75,1.8,4.6,
900,"Apartamento T0 na Rua Dona Maria Ana de Áustria, Bairro da Serafina, Campolide",https://www.idealista.pt/imovel/34788310/,26,T0,"Rua Dona Maria Ana de Áustria, Bairro da Serafina, Campolide",data/lisboa_campolide_listings.csv,34.61538461538461,False,False,False,False,,False,False,False,False,,,15.384615384615389,"(38.7326187, -9.1728821)",4.308508161008431,1.5653910889416809,32.57213480305797,47.95675018767336,2.9,2.1,5.0
950,"Apartamento T2 na Rua Doutor António Ribeiro dos Santos, Calçada da Ajuda - Belém, Ajuda",https://www.idealista.pt/imovel/34844431/,70,T2,"Rua Doutor António Ribeiro dos Santos, Calçada da Ajuda - Belém, Ajuda",data/lisboa_ajuda_listings.csv,13.571428571428571,False,False,False,False,,False,False,False,False,,,46.42857142857143,,,,0.0,46.42857142857143,2.6,3.4,
1000,"Apartamento T1 na Rua Dom Carlos de Mascarenhas, Centro, Campolide",https://www.idealista.pt/imovel/34783316/,80,T1,"Rua Dom Carlos de Mascarenhas, Centro, Campolide",data/lisboa_campolide_listings.csv,12.5,False,False,False,False,,False,False,False,False,,,42.5,,,,0.0,42.5,2.4,4.9,
