price,title,url,typology,area_m2,location
1480,"Apartamento T2 no Largo do Calvário, Largo do Calvário - Lx Factory, Alcântara",https://www.idealista.pt/imovel/34773777/,T2,47,
1200,"Apartamento T2 na Rua Pedro Calmon, s/n, Alto de Santo Amaro, Alcântara",https://www.idealista.pt/imovel/34702196/,T2,55,"Rua Pedro Calmon, s/n, Alto de Santo Amaro, Alcântara"
1500,"Apartamento T2 na Rua Rodrigues de Faria, 105, Largo do Calvário - Lx Factory, Alcântara",https://www.idealista.pt/imovel/34836572/,T2,50,"Rua Rodrigues de Faria, 105, Largo do Calvário - Lx Factory, Alcântara"
1350,"Apartamento T2 na Rua da Indústria, Alto de Santo Amaro, Alcântara",https://www.idealista.pt/imovel/34836358/,T2,60,"Rua da Indústria, Alto de Santo Amaro, Alcântara"
2300,"Apartamento T2 na Rua Luís de Camões, Alto de Santo Amaro, Alcântara",https://www.idealista.pt/imovel/34800437/,T2,95,"Rua Luís de Camões, Alto de Santo Amaro, Alcântara"
1200,"Apartamento T3 na Rua Engenheiro António Maria de Avelar, Alto de Alcântara, Alcântara",https://www.idealista.pt/imovel/34850402/,T3,85,"Rua Engenheiro António Maria de Avelar, Alto de Alcântara, Alcântara"
1550,"Apartamento T2 na Rua Jau, Alto de Santo Amaro, Alcântara",https://www.idealista.pt/imovel/34832345/,T2,80,"Rua Jau, Alto de Santo Amaro, Alcântara"
3540,"Apartamento T3 na Rua Luís de Camões, Alto de Santo Amaro, Alcântara",https://www.idealista.pt/imovel/32146542/,T3,135,"Rua Luís de Camões, Alto de Santo Amaro, Alcântara"
1900,"Apartamento T2,  Calçada da Boa Hora, Junqueira, Alcântara",https://www.idealista.pt/imovel/31508652/,T2,111,
7500,"Apartamento T0 na Rua dos Lusíadas, 38 a, Largo do Calvário - Lx Factory, Alcântara",https://www.idealista.pt/imovel/34596494/,T0,410,"Rua dos Lusíadas, 38 a, Largo do Calvário - Lx Factory, Alcântara"
1600,"Apartamento T1 na Travessa Giestal, Alto de Alcântara, Alcântara",https://www.idealista.pt/imovel/33816496/,T1,41,"Travessa Giestal, Alto de Alcântara, Alcântara"
1500,"Apartamento T1 na Rua Gil Vicente, 40, Alto de Santo Amaro, Alcântara",https://www.idealista.pt/imovel/34163626/,T1,50,"Rua Gil Vicente, 40, Alto de Santo Amaro, Alcântara"
2100,"Apartamento T1 na Rua Giestal, Alto de Alcântara, Alcântara",https://www.idealista.pt/imovel/34774206/,T1,74,"Rua Giestal, Alto de Alcântara, Alcântara"
1450,"Apartamento T2 na Rua Artur Lamas, Junqueira, Alcântara",https://www.idealista.pt/imovel/34698185/,T2,75,"Rua Artur Lamas, Junqueira, Alcântara"
1490,"Apartamento T1,  Calçada Santo Amaro, Alto de Santo Amaro, Alcântara",https://www.idealista.pt/imovel/34780753/,T1,50,
2500,"Apartamento T2 na Travessa da Praia, 12 a, Junqueira, Alcântara",https://www.idealista.pt/imovel/34665753/,T2,109,"Travessa da Praia, 12 a, Junqueira, Alcântara"
1800,"Apartamento T2 na Rua dos Lusíadas, Largo do Calvário - Lx Factory, Alcântara",https://www.idealista.pt/imovel/34726490/,T2,65,"Rua dos Lusíadas, Largo do Calvário - Lx Factory, Alcântara"
1400,"Apartamento T0 na Rua dos Lusíadas, Alto de Santo Amaro, Alcântara",https://www.idealista.pt/imovel/34810377/,T0,45,"Rua dos Lusíadas, Alto de Santo Amaro, Alcântara"
900,"Apartamento T2 na Rua do Alvito, 80, Alvito - Quinta do Jacinto, Alcântara",https://www.idealista.pt/imovel/34855184/,T2,80,"Rua do Alvito, 80, Alvito - Quinta do Jacinto, Alcântara"
2760,"Apartamento T2 na Rua da Junqueira, 166, Junqueira, Alcântara",https://www.idealista.pt/imovel/34824278/,T2,114,"Rua da Junqueira, 166, Junqueira, Alcântara"
2300,"Apartamento T2 na Rua Agostinho de Campos, 1, Alto de Santo Amaro, Alcântara",https://www.idealista.pt/imovel/34830038/,T2,130,"Rua Agostinho de Campos, 1, Alto de Santo Amaro, Alcântara"
1250,"Apartamento T0 na Travessa Artur Lamas, s/n, Junqueira, Alcântara",https://www.idealista.pt/imovel/34803528/,T0,40,"Travessa Artur Lamas, s/n, Junqueira, Alcântara"
1315,"Apartamento T0 na Travessa Artur Lamas, s/n, Junqueira, Alcântara",https://www.idealista.pt/imovel/34806993/,T0,40,"Travessa Artur Lamas, s/n, Junqueira, Alcântara"
1075,"Apartamento T0 na Travessa Artur Lamas, s/n, Junqueira, Alcântara",https://www.idealista.pt/imovel/34844874/,T0,40,"Travessa Artur Lamas, s/n, Junqueira, Alcântara"
2000,"Apartamento T2 na Travessa Giestal, 6, Alto de Alcântara, Alcântara",https://www.idealista.pt/imovel/34730316/,T2,75,"Travessa Giestal, 6, Alto de Alcântara, Alcântara"
