price,title,url,area_m2,typology,location,source_file,price_per_m2
900,"Apartamento T2 na Rua do Alvito, 80, Alvito - Quinta do Jacinto, Alcântara",https://www.idealista.pt/imovel/34855184/,80,T2,"Rua do Alvito, 80, Alvito - Quinta do Jacinto, Alcântara",data/lisboa_alcantara_listings.csv,11.25
1075,"Apartamento T0 na Travessa Artur Lamas, s/n, Junqueira, Alcântara",https://www.idealista.pt/imovel/34844874/,40,T0,"Travessa Artur Lamas, s/n, Junqueira, Alcântara",data/lisboa_alcantara_listings.csv,26.875
998,"Apartamento T0 no Largo do Calvário, Largo do Calvário - Lx Factory, Alcântara",https://www.idealista.pt/imovel/34404788/,30,T0,,data/lisboa_alcantara_listings.csv,33.266666666666666
760,"Apartamento T0,  R. Aliança Operária, 2, Alto de Alcântara, Alcântara",https://www.idealista.pt/imovel/33115927/,11,T0,,data/lisboa_alcantara_listings.csv,69.0909090909091
660,"Apartamento T0 no Bairro do Alvito, 47, Alvito - Quinta do Jacinto, Alcântara",https://www.idealista.pt/imovel/31376270/,15,T0,,data/lisboa_alcantara_listings.csv,44.0
950,"Apartamento T1 na Travessa São Jerónimo, 2, Alvito - Quinta do Jacinto, Alcântara",https://www.idealista.pt/imovel/31161260/,45,T1,"Travessa São Jerónimo, 2, Alvito - Quinta do Jacinto, Alcântara",data/lisboa_alcantara_listings.csv,21.11111111111111
1100,"Apartamento T2 na Travessa do Gibraltar, Alvito - Quinta do Jacinto, Alcântara",https://www.idealista.pt/imovel/34839733/,55,T2,"Travessa do Gibraltar, Alvito - Quinta do Jacinto, Alcântara",data/lisboa_alcantara_listings.csv,20.0
1100,"Apartamento T2 na Rua Cruz a Alcântara, 36, Alvito - Quinta do Jacinto, Alcântara",https://www.idealista.pt/imovel/33157926/,42,T2,"Rua Cruz a Alcântara, 36, Alvito - Quinta do Jacinto, Alcântara",data/lisboa_alcantara_listings.csv,26.19047619047619
950,"Apartamento T1 na Rua Indústria, Alto de Santo Amaro, Alcântara",https://www.idealista.pt/imovel/30166333/,60,T1,"Rua Indústria, Alto de Santo Amaro, Alcântara",data/lisboa_alcantara_listings.csv,15.833333333333334
1100,"Apartamento T1 na Rua de Campolide, 152, Centro, Campolide",https://www.idealista.pt/imovel/34860028/,61,T1,"Rua de Campolide, 152, Centro, Campolide",data/lisboa_campolide_listings.csv,18.0327868852459
1000,"Apartamento T1 na Rua Dom Carlos de Mascarenhas, Centro, Campolide",https://www.idealista.pt/imovel/34783316/,80,T1,"Rua Dom Carlos de Mascarenhas, Centro, Campolide",data/lisboa_campolide_listings.csv,12.5
1000,"Apartamento T1 na Rua Arco do Carvalhão, 35, Centro, Campolide",https://www.idealista.pt/imovel/33018222/,50,T1,"Rua Arco do Carvalhão, 35, Centro, Campolide",data/lisboa_campolide_listings.csv,20.0
880,"Apartamento T0 na Rua de Campolide, 133, Centro, Campolide",https://www.idealista.pt/imovel/34713950/,28,T0,"Rua de Campolide, 133, Centro, Campolide",data/lisboa_campolide_listings.csv,31.428571428571427
1000,"Apartamento T1 na Rua Arco do Carvalhão, 75, Centro, Campolide",https://www.idealista.pt/imovel/34814996/,31,T1,"Rua Arco do Carvalhão, 75, Centro, Campolide",data/lisboa_campolide_listings.csv,32.25806451612903
900,"Apartamento T1 na Rua Arco do Carvalhão, 35, Centro, Campolide",https://www.idealista.pt/imovel/30543042/,40,T1,"Rua Arco do Carvalhão, 35, Centro, Campolide",data/lisboa_campolide_listings.csv,22.5
1100,"Apartamento T1 na Rua Professor Sousa da Câmara, Centro, Campolide",https://www.idealista.pt/imovel/34796095/,65,T1,"Rua Professor Sousa da Câmara, Centro, Campolide",data/lisboa_campolide_listings.csv,16.923076923076923
1150,"Andar de moradia,  Vila Maria, Centro, Campolide",https://www.idealista.pt/imovel/34842350/,60,,,data/lisboa_campolide_listings.csv,19.166666666666668
1050,"Apartamento T1 na Rua General Taborda, 26, Centro, Campolide",https://www.idealista.pt/imovel/34846611/,33,T1,"Rua General Taborda, 26, Centro, Campolide",data/lisboa_campolide_listings.csv,31.818181818181817
900,"Apartamento T0 na Rua Dona Maria Ana de Áustria, Bairro da Serafina, Campolide",https://www.idealista.pt/imovel/34788310/,26,T0,"Rua Dona Maria Ana de Áustria, Bairro da Serafina, Campolide",data/lisboa_campolide_listings.csv,34.61538461538461
900,"Apartamento T0 na Rua b Ao Bairro da Liberdade, 85, Bairro da Serafina, Campolide",https://www.idealista.pt/imovel/34764482/,41,T0,"Rua b Ao Bairro da Liberdade, 85, Bairro da Serafina, Campolide",data/lisboa_campolide_listings.csv,21.951219512195124
900,"Apartamento T0 na Rua Inácio Pardelhas Sanchez, Bairro da Serafina, Campolide",https://www.idealista.pt/imovel/34767786/,41,T0,"Rua Inácio Pardelhas Sanchez, Bairro da Serafina, Campolide",data/lisboa_campolide_listings.csv,21.951219512195124
1100,"Apartamento T1 na Rua Conde das Antas, Centro, Campolide",https://www.idealista.pt/imovel/34786339/,56,T1,"Rua Conde das Antas, Centro, Campolide",data/lisboa_campolide_listings.csv,19.642857142857142
1100,"Apartamento T1 na Rua Conde das Antas, Centro, Campolide",https://www.idealista.pt/imovel/34782219/,45,T1,"Rua Conde das Antas, Centro, Campolide",data/lisboa_campolide_listings.csv,24.444444444444443
1100,"Apartamento T0,  Calçada da Quintinha, Bairro Calçada dos Mestres, Campolide",https://www.idealista.pt/imovel/34739904/,53,T0,,data/lisboa_campolide_listings.csv,20.754716981132077
1100,"Apartamento T1 na Rua Arco do Carvalhão, Centro, Campolide",https://www.idealista.pt/imovel/34797595/,80,T1,"Rua Arco do Carvalhão, Centro, Campolide",data/lisboa_campolide_listings.csv,13.75
1150,"Apartamento T0,  Calçada da Quintinha, Bairro Calçada dos Mestres, Campolide",https://www.idealista.pt/imovel/34449712/,53,T0,,data/lisboa_campolide_listings.csv,21.69811320754717
1000,"Apartamento T2 na Praceta Ângelo Veloso, Alfragide, Amadora",https://www.idealista.pt/imovel/28966744/,80,T2,"Praceta Ângelo Veloso, Alfragide, Amadora",data/lisboa_alfragide_listings.csv,12.5
